text,label
remote alaska high school volleyball team endures rough landing in bush plane en route to state tournament,0
jon stewart reveals the one thing he'll never do,0
"'the daily show' searches for a 'real, non-douchey' hoverboard",0
"with greetings from trump, pence says u.s. committed to europe",0
trump shifts to infrastructure as james comey prepares to testify,0
10 corners you should never cut when planning a wedding,0
samantha bee sums up ivanka trump's new white house role in just 8 words,0
watch a self-described 'despicable' pet-care company owner kick dog in elevator,0
kate mckinnon kills as laura ingraham on 'saturday night live',0
un chief warns trump not to ditch iran nuclear deal,0
'that nail polish looks horrible on you' and other words of style advice from my grandmother,0
these photos will make you book your next trip to india,0
aol instant messenger to sign off forever after 20 years,0
"no more adult conversations, prayers or moments of silence",0
here is jake gyllenhaal singing his heart out ahead of his broadway musical debut,0
"these quotes from kids are hilarious, adorable and oddly insightful",0
"americans take gold, silver in men's freestyle halfpipe",0
tom cruise shares frightening slow motion video of ankle-breaking stunt,0
how current eating disorder discourse fails the lgbtq community. and how we can change that.,0
pressure to defund planned parenthood increases for gop,0
today's buddha doodle - how to change your future,0
progressive challenger wants birmingham to be 'frontline resistance to trump policies',0
"gold star family promised $25,000 by trump finally receives check in the mail",0
what money for trump's border wall could buy in disaster relief funding,0
gaza rolls out the red carpet for film festival amid the ruins,0
a quiz for moms: how ready are you for the school year to end?,0
"activists rally behind pope's message on climate, the poor",0
you don't need god to have a life purpose: rabbi,0
photographer assumes endless identities in her mother's clothes,0
how do you know when a beauty product is 'the one'?,0
twitter has no time for the gop's weird gif response to comey statement,0
why calls for boycotts always hurt the wrong people,0
watch: mama weasel won't let teeny baby fall behind,0
olivia wilde takes down subway riders who don't give seats to pregnant women,0
when my office is a target -- reflections from a veteran white house reporter,0
bernie sanders says he will 'certainly support' hillary clinton if she's the democratic nominee,0
how to make the most gorgeous summer dinner ever,0
"watch live: musicians carlos santana, gregg rolie & neal schon on their new album",0
"following trump's lead, gop shifts from russia revelations to attack on leaks",0
washington teen broke up with girlfriend before deadly shooting: reports,0
why would google leave a fake town on its maps?,0
how the host of 'river monsters' hopes his show will inspire environmentalism,0
bernie sanders' health care bill is a huge win for the abortion rights movement,0
'the interview' has made $31 million in online & vod sales thus far,0
nearly half of living nfl veterans show signs of brain injury: study,0
kevin pierre-louis is tackling depression stigma by sharing his own experience,0
second texas judge leaves the republican party in the age of donald trump,0
"more than 250 new emoji to be released, and we have the list",0
cam newton thanks panthers fans after nfc championship season,0
serena williams: 'doctors aren't listening' so black women are dying,0
the best maternity style moments at the grammys,0
"ladies, let 1970 cosmo tell you 'things to do with your hands that men like'",0
video shows london marathoner helping fellow runner over finish line,0
mexico city stages james bond-inspired day of the dead parade,0
lebanon's ex-pm says he will return amid claims he was being held captive by saudis,0
"drug-resistant bacteria often lurk in children's, dogs' sandboxes",0
man shot dead by oklahoma city cop was deaf (updated),0
justin timberlake wants his son to be inspired by charlottesville's strength,0
2015 mix queer experimental film festival coming to nyc,0
parkland deputy who didn't engage school shooter told other officers to stay away,0
cheetah print-wearing ali wong mini-me throws down on the dance floor,0
proof that human alex jones is most certainly not part reptile,0
an open letter to president trump on anti-semitism,0
can tai chi and computer games treat your adhd?,0
these influential marijuana users defy the stoner stereotype,0
kimmel brings down the house by giving trump's latest tweet a new ending,0
new rules could change the way millions of people get paid,0
gravedigger suspended after taking photo with dead man,0
holly madison releasing memoir about life in the playboy mansion,0
boehner does damage control: benghazi probe was 'never' about clinton,0
7 awesome pot pie recipes you need to make now,0
18 halloween costume ideas for people who wear glasses,0
why trump's lies and transgressions appeal to his followers,0
18 awesome picnic recipes (that aren't sandwiches),0
why i decided to attach my business to the happy hippie foundation,0
wall street journal seeks 'substantial' newsroom buyouts,0
what is love? this lesbian teen has it all figured out (video),0
gay men are being rounded up and killed in chechnya: report,0
lin-manuel miranda takes bow as hamilton one last time,0
"journalists attend private koch brothers gathering, but agree not to name donors",0
"gop poisoned zika bill to satisfy 'crazies,' says harry reid",0
trump's paid parental leave plan is a non-starter,0
here's your chance to score never ending pasta at olive garden,0
conservatives to white working class: drop dead,0
the gun industry's next big thing is neither big nor new,0
house reauthorizes controversial surveillance law,0
'whoisdsharp' injects some viral vine violin into huffpost 6x60,0
australian politicians are gloating about their nation's draconian refugee policy,0
title ix administrators discuss emotional demands of job,0
house vote maintains military ability to jail people without trial,0
bombing anniversary a reminder of the radical right's rage,0
how to know when to dial your confidence up -- or down,0
the embarrassing skin problem nobody talks about,0
the dubai film festival diaries: a classy end to a life-changing event,0
planned parenthood sues ohio in dispute over fetal tissue,0
what it's like to be a muslim woman in hijab teaching in the trump era,0
john stamos has no mercy when apparently throwing shade at drake bell,0
david axelrod's view inside the economic storm obama inherited in 2009,0
sam bee's team is apologizing to people trump offends. it's harder than they thought.,0
trump's whole approach to health care boiled down to one tweet,0
'black panther' sequel officially confirmed by marvel studios head,0
"in mental health awareness week, we need more than mental health 'first aid'",0
the nypd has secretly been spying on cell phones since 2008,0
watch macklemore's thoughtful commentary on race in america,0
breaking: ufos spotted on classy porcelain dinnerware,0
palestinians starting to play on less uneven playing field,0
"cowboys and indians, yes.  indians and occupiers?  let's think about that",0
pink gets real about the 'most humbling' part of parenting,0
"we asked republicans why they think trump's lawyer gave a porn star $130,000",0
the voice's audra mclaughlin: 12 things you need to know,0
twitter is appalled at the west coast's favorite thanksgiving side dish,0
u.s. will no longer punish families of hostages for paying ransom,0
when spirituality and entrepreneurship overlap,0
donald trump is terrible news for our food system,0
caitlyn jenner will get candid with diane sawyer once again,0
be still our hearts: raspberry chocolate grilled cheese sandwiches,0
eating like an idiot for a weekend in san francisco,0
immigrant youth give dianne feinstein 'donald trump award',0
trump refugee order dashes hopes of iraqis who helped the u.s.,0
man surprises girlfriend by drawing them in different animation styles,0
stephen curry signs an insane deal with golden state warriors,0
grindr now offers reminders for users to get regular hiv tests,0
prevent pr disaster: 6 steps for crisis planning,0
bill de blasio named a new schools chancellor. then the candidate backed out on live tv.,0
why one biologist doesn't believe the g-spot is a myth,0
guy fieri eating to johnny cash's 'hurt' fills us with feelings,0
